sku,linhas_uplift,real_total,base_total,uplift_total,erro_base,erro_uplift,delta_erro,delta_pct
31027523990,40,1178.0,576.8533647426071,2097.3000533156996,601.1466352573929,919.3000533156996,318.1534180583068,0.5292442798454375
31027524433,550,40225.0,37421.8446104269,42278.21709376213,2803.1553895730976,2053.2170937621268,-749.9382958109709,-0.2675336153680662
31027524436,1,19.0,36.81720430107527,42.38834872565034,17.81720430107527,23.38834872565034,5.571144424575067,0.31268342274319927
31027528701,25,986.0,573.5987972270437,973.8116579595085,412.40120277295625,12.188342040491534,-400.2128607324647,-0.9704454255745667
31027528704,17,873.0,443.05253500041886,674.979241414578,429.94746499958114,198.02075858542196,-231.92670641415918,-0.5394303381097622
31027528710,25,1729.0,1063.706324411996,1607.6126832936895,665.2936755880039,121.38731670631046,-543.9063588816934,-0.8175432577214489
31027528713,419,29662.0,27737.977433778626,30355.005118164405,1924.0225662213743,693.0051181644048,-1231.0174480569694,-0.6398144541904146
31027529507,159,2497.0,2449.7870528936214,6861.663962844122,47.21294710637858,4364.663962844122,4317.451015737743,91.44633581144197
31027530258,557,72125.0,83721.45975272948,90477.83481979098,11596.459752729483,18352.83481979098,6756.375067061497,0.5826239396442725
31027530261,33,1163.0,900.8504076568593,1204.3653741503585,262.14959234314074,41.36537415035855,-220.7842181927822,-0.84220698655059
31027530264,35,1451.0,717.0476562244945,1257.5646076721146,733.9523437755055,193.43539232788544,-540.51695144762,-0.7364469315094229
31027530956,3,445.0,237.70588235294116,252.93193205026088,207.29411764705884,192.06806794973912,-15.226049697319723,-0.07345143157049809
31027531038,8,225.0,124.72073101085094,170.0554935920417,100.27926898914906,54.9445064079583,-45.33476258119076,-0.45208509234442373
31027531053,11,823.0,466.10554749352485,530.641394724176,356.89445250647515,292.35860527582395,-64.5358472306512,-0.18082614279211953
31027532402,29,9178.0,6491.051109092185,6976.111579179109,2686.9488909078154,2201.888420820891,-485.0604700869244,-0.18052463585306283
31027532405,42,20744.0,7752.920823402565,11175.727601359604,12991.079176597435,9568.272398640396,-3422.8067779570392,-0.2634736292057243
31027532408,59,6628.0,7232.472727272727,10129.246811756846,604.4727272727268,3501.246811756846,2896.774084484119,4.792232889569472
31027532411,29,9743.0,4213.791489257435,7204.777550185117,5529.208510742565,2538.2224498148826,-2990.986060927682,-0.5409428953740066
31027532941,577,77547.0,75254.16304909054,108929.1930335574,2292.8369509094628,31382.1930335574,29089.356082647937,12.687058306134473
31027534326,264,22590.0,20375.681372230774,21978.3931957812,2214.3186277692257,611.6068042188017,-1602.711823550424,-0.723794581073929
31027535054,5,106.0,51.848484848484844,84.84222771063445,54.151515151515156,21.157772289365553,-32.9937428621496,-0.6092856824011957
31027535057,13,0.0,170.35528777300394,291.9652849256009,170.35528777300394,291.9652849256009,121.60999715259695,0.7138610062673287
31027535060,13,0.0,145.50242424242424,241.70029522922002,145.50242424242424,241.70029522922002,96.19787098679578,0.6611427368833303
31027535072,78,1885.0,815.8334826427772,1924.9912938252653,1069.1665173572228,39.9912938252653,-1029.1752235319575,-0.9625958228432777
31027535093,24,502.0,330.09201194929875,488.204718481277,171.90798805070125,13.795281518723016,-158.11270653197823,-0.919751945938345
31027535102,29,2351.0,500.6505494505495,2189.6324787998083,1850.3494505494505,161.36752120019173,-1688.9819293492587,-0.9127907860040845
31027535112,362,12891.0,12550.36974888865,14718.203651604223,340.63025111134993,1827.2036516042226,1486.5734004928727,4.364184906192965
31027535383,555,28223.0,26870.750366043496,33944.796232546134,1352.249633956504,5721.796232546134,4369.54659858963,3.231316532735833
31027535386,5,255.0,198.69709448638756,234.61873008750257,56.302905513612444,20.38126991249743,-35.921635601115014,-0.6380067826593813
31027535392,565,67201.0,61817.579057017545,98399.63011202872,5383.420942982455,31198.630112028724,25815.20916904627,4.795316851954076
31027535395,556,91515.0,86082.8075955159,123782.15856608344,5432.1924044841,32267.15856608344,26834.96616159934,4.9399881601115485
31027535398,555,77759.0,73617.70233174099,101349.63703206062,4141.297668259009,23590.637032060622,19449.339363801613,4.696435977754303
31027540647,1,4.0,44.228070175438596,49.66095591256406,40.228070175438596,45.66095591256406,5.432885737125467,0.1350521094706287
31027540943,565,29875.0,36442.88337595908,77770.72224435398,6567.883375959078,47895.72224435398,41327.8388683949,6.292413628973731
31027541105,552,14090.0,19494.204745470233,25654.206612975562,5404.204745470233,11564.206612975562,6160.001867505329,1.1398535321350656
31027541111,553,67115.0,99350.23836194765,168368.047225166,32235.238361947646,101253.047225166,69017.80886321835,2.141067116931606
31027541114,552,65553.0,105486.22507906934,156813.13715406557,39933.225079069336,91260.13715406557,51326.91207499623,1.285318477868165
31027541117,17,1877.0,1021.943677475044,1927.233436217478,855.056322524956,50.2334362174779,-804.8228863074781,-0.9412513130490164
31027541120,554,43416.0,55465.86442884375,146447.86147795283,12049.86442884375,103031.86147795283,90981.99704910908,7.550458147174299
31027547416,175,60201.0,61034.34375,72642.74671866286,833.34375,12441.746718662864,11608.402968662864,13.929909438527455
31027547419,188,80313.0,81333.125,92420.0829224117,1020.125,12107.082922411704,11086.957922411704,10.868234699092469
31027547422,142,70505.0,73123.78125,79697.06697527741,2618.78125,9192.066975277412,6573.285725277412,2.510055288228985
31027547425,201,54106.0,52879.3125,59314.247219313,1226.6875,5208.247219313002,3981.5597193130016,3.245781602333929
31027548000,99,3585.0,3015.1383526383524,3898.634885462,569.8616473616476,313.63488546200006,-256.2267618996475,-0.44962977081530103
31027548003,157,8393.0,7661.7676597911895,9419.097129359841,731.2323402088105,1026.0971293598413,294.8647891510309,0.4032436380847562
31027548006,102,4665.0,3679.343178893179,4629.559063676633,985.6568211068211,35.44093632336717,-950.2158847834539,-0.9640433307369907
3104657,17,18378.0,14885.688644688646,15386.556440732416,3492.3113553113544,2991.4435592675836,-500.8677960437708,-0.14342014359115363
3108195-1,17,16096.0,12105.06391941392,12376.372171053086,3990.9360805860797,3719.6278289469137,-271.308251639166,-0.06798110672805455
3108196-1,25,6275.0,3712.2046449647823,3927.5261805390005,2562.7953550352177,2347.4738194609995,-215.32153557421816,-0.08401823233804762
3108197-1,29,10475.0,6945.913675105111,7123.480070595465,3529.086324894889,3351.519929404535,-177.5663954903539,-0.05031511817598924
3109087,498,63929.0,58039.52123225601,61178.15770564642,5889.478767743989,2750.842294353577,-3138.636473390412,-0.5329226230647727
310987,1,149.0,93.20588235294117,98.36199375926223,55.794117647058826,50.63800624073777,-5.15611140632106,-0.09241317227987139
3110413-1,19,2861.0,1625.8521063871094,1746.2352293192903,1235.1478936128906,1114.7647706807097,-120.38312293218087,-0.09746454133525026
311196-1,70,1850.0,1479.5928740146276,3701.1013178635417,370.40712598537243,1851.1013178635417,1480.6941918781692,3.9974776077516463
311813-1,160,4217.0,4518.547489046175,18843.554857484745,301.54748904617463,14626.554857484745,14325.007368438572,47.504979775325026
311814-1,195,6970.0,7863.017363484469,12861.481359097314,893.0173634844687,5891.4813590973135,4998.463995612845,5.597275260258451
